Date,Open,High,Low,Close,Volume
08/02/2016,1873.25,1873.25,1828.46,1853.44,5636.46
09/02/2016,1848.46,1868.25,1834.94,1852.21,5183.22
10/02/2016,1857.10,1881.60,1850.32,1851.86,4471.17
11/02/2016,1847.00,1847.00,1810.10,1829.08,5500.80
12/02/2016,1833.40,1864.78,1833.40,1864.78,4696.92
16/02/2016,1871.44,1895.77,1871.44,1895.58,4570.67
17/02/2016,1898.80,1930.68,1898.80,1926.82,5011.54
18/02/2016,1927.57,1930.00,1915.09,1917.83,4436.49
19/02/2016,1916.74,1918.78,1902.17,1917.78,4142.85
22/02/2016,1924.44,1946.70,1924.44,1945.50,4054.71
23/02/2016,1942.38,1942.38,1919.44,1921.27,3890.65
24/02/2016,1917.56,1932.08,1891.00,1929.80,4317.25
25/02/2016,1931.87,1951.83,1925.41,1951.70,4118.21
26/02/2016,1954.95,1962.96,1945.78,1948.05,4348.51
29/02/2016,1947.13,1958.27,1931.81,1932.23,4588.18
01/03/2016,1937.09,1978.35,1937.09,1978.35,4819.75
02/03/2016,1976.60,1986.51,1968.80,1986.45,4666.61
03/03/2016,1985.60,1993.69,1977.37,1993.40,5081.70
04/03/2016,1994.01,2009.13,1986.77,1999.99,6049.93
07/03/2016,1996.11,2006.12,1989.38,2001.76,4968.18
08/03/2016,1996.88,1996.88,1977.43,1979.26,4641.65
09/03/2016,1981.44,1992.69,1979.84,1989.26,4038.12
10/03/2016,1990.97,2005.08,1969.25,1989.57,4376.79
11/03/2016,1994.71,2022.37,1994.71,2022.19,4078.62
14/03/2016,2019.27,2024.57,2012.05,2019.64,3487.85
15/03/2016,2015.27,2015.94,2005.23,2015.93,3560.28
16/03/2016,2014.24,2032.02,2010.04,2027.22,4057.02
17/03/2016,2026.90,2046.24,2022.16,2040.59,4530.48
18/03/2016,2041.16,2052.36,2041.16,2049.58,6503.14
21/03/2016,2047.88,2053.91,2043.14,2051.60,3376.60
22/03/2016,2048.64,2056.60,2040.57,2049.80,3418.46
23/03/2016,2048.55,2048.55,2034.86,2036.71,3639.51
24/03/2016,2032.48,2036.04,2022.49,2035.94,3407.72
28/03/2016,2037.89,2042.67,2031.96,2037.05,2809.09
29/03/2016,2035.75,2055.91,2028.31,2055.01,3822.33
30/03/2016,2058.27,2072.21,2058.27,2063.95,3590.31
31/03/2016,2063.77,2067.92,2057.46,2059.74,3715.28
01/04/2016,2056.62,2075.07,2043.98,2072.78,3749.99
04/04/2016,2073.19,2074.02,2062.57,2066.13,3485.71
05/04/2016,2062.50,2062.50,2042.56,2045.17,4154.92
06/04/2016,2045.56,2067.33,2043.09,2066.66,3750.80
07/04/2016,2063.01,2063.01,2033.80,2041.91,3801.25
08/04/2016,2045.54,2060.63,2041.69,2047.60,3359.53
11/04/2016,2050.23,2062.93,2041.88,2041.99,3567.84
12/04/2016,2043.72,2065.05,2039.74,2061.72,4239.74
13/04/2016,2065.92,2083.18,2065.92,2082.42,4191.83
14/04/2016,2082.89,2087.84,2078.13,2082.78,3765.87
15/04/2016,2083.10,2083.22,2076.31,2080.73,3701.45
18/04/2016,2078.83,2094.66,2073.65,2094.34,3316.88
19/04/2016,2096.05,2104.05,2091.68,2100.80,3896.83
20/04/2016,2101.52,2111.05,2096.32,2102.40,4184.88
21/04/2016,2102.09,2103.78,2088.52,2091.48,4175.29
22/04/2016,2091.49,2094.32,2081.20,2091.58,3790.58
25/04/2016,2089.37,2089.37,2077.52,2087.79,3319.74
26/04/2016,2089.84,2096.87,2085.80,2091.70,3557.19
27/04/2016,2092.33,2099.89,2082.31,2095.15,4100.11
28/04/2016,2090.93,2099.30,2071.62,2075.81,4309.84
29/04/2016,2071.82,2073.85,2052.28,2065.30,4704.72
02/05/2016,2067.17,2083.42,2066.11,2081.43,3841.11
03/05/2016,2077.18,2077.18,2054.89,2063.37,4173.39
04/05/2016,2060.30,2060.30,2045.55,2051.12,4058.56
05/05/2016,2052.95,2060.23,2045.77,2050.63,4008.53
06/05/2016,2047.77,2057.72,2039.45,2057.14,3796.35
09/05/2016,2057.55,2064.15,2054.31,2058.69,3788.62
10/05/2016,2062.63,2084.87,2062.63,2084.39,3600.20
11/05/2016,2083.29,2083.29,2064.46,2064.46,3821.98
12/05/2016,2067.17,2073.99,2053.13,2064.11,3782.39
13/05/2016,2062.50,2066.79,2043.13,2046.61,3579.88
16/05/2016,2046.53,2071.88,2046.53,2066.66,3501.36
17/05/2016,2065.04,2065.69,2040.82,2047.21,4108.96
18/05/2016,2044.38,2060.61,2034.49,2047.63,4101.32
19/05/2016,2044.21,2044.21,2025.91,2040.04,3846.77
20/05/2016,2041.88,2058.35,2041.88,2052.32,3507.65
23/05/2016,2052.23,2055.58,2047.26,2048.04,3055.48
24/05/2016,2052.65,2079.67,2052.65,2076.06,3627.34
25/05/2016,2078.93,2094.73,2078.93,2090.54,3859.16
26/05/2016,2091.44,2094.30,2087.08,2090.10,3230.99
27/05/2016,2090.06,2099.06,2090.06,2099.06,3079.15
31/05/2016,2100.13,2103.48,2088.66,2096.95,4514.41
01/06/2016,2093.94,2100.97,2085.10,2099.33,3525.17
02/06/2016,2097.71,2105.26,2088.59,2105.26,3632.72
03/06/2016,2104.07,2104.07,2085.36,2099.13,3627.78
06/06/2016,2100.83,2113.36,2100.83,2109.41,3442.02
07/06/2016,2110.18,2119.22,2110.18,2112.13,3534.73
08/06/2016,2112.71,2120.55,2112.71,2119.12,3562.06
09/06/2016,2115.65,2117.64,2107.73,2115.48,3290.32
10/06/2016,2109.57,2109.57,2089.96,2096.07,3515.01
13/06/2016,2091.75,2098.12,2078.46,2079.06,3392.03
14/06/2016,2076.65,2081.30,2064.10,2075.32,3759.77
15/06/2016,2077.60,2085.65,2069.80,2071.50,3544.72
16/06/2016,2066.36,2079.62,2050.37,2077.99,3628.28
17/06/2016,2078.20,2078.20,2062.84,2071.22,4952.63
